,CUERPO,PROVINCIA,LOCALIDAD,CENTRO,PUESTO,PLAZAS
1,MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597031-EDUCACIÓN INFANTIL,2
2,MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597032-LENGUA EXTRANJERA-INGLÉS,1
3,MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597033-LENGUA EXTRANJERA-FRANCÉS,1
4,MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597034-EDUCACIÓN FÍSICA,1
5,MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597035-MÚSICA,1
6,MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597036-PEDAGOGÍA TERAPÉUTICA,1
7,MAESTROS,ALMERÍA,ABLA,04000018-C.E.I.P. JOAQUÍN TENA SICILIA,00597038-EDUCACIÓN PRIMARIA,3
8,MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,00597031-EDUCACIÓN INFANTIL,2
9,MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,00597032-LENGUA EXTRANJERA-INGLÉS,1
10,MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,00597034-EDUCACIÓN FÍSICA,1
11,MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,00597035-MÚSICA,1
12,MAESTROS,ALMERÍA,ABRUCENA,04000021-C.E.I.P. ANTONIO RELAÑO,11597038-EDUCACIÓN PRIMARIA - BILINGÜE INGLÉS,1
13,MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597APO-APOYO COMPENSACION,1
14,MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597031-EDUCACIÓN INFANTIL,4
15,MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597032-LENGUA EXTRANJERA-INGLÉS,2
16,MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597033-LENGUA EXTRANJERA-FRANCÉS,1
17,MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597034-EDUCACIÓN FÍSICA,1
18,MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597035-MÚSICA,1
19,MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597036-PEDAGOGÍA TERAPÉUTICA,2
20,MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597037-AUDICIÓN Y LENGUAJE,1
21,MAESTROS,ALMERÍA,ADRA,04000079-C.E.I.P. SAN NICOLÁS,00597038-EDUCACIÓN PRIMARIA,5
22,MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597031-EDUCACIÓN INFANTIL,8
23,MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597032-LENGUA EXTRANJERA-INGLÉS,2
24,MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597033-LENGUA EXTRANJERA-FRANCÉS,1
25,MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597034-EDUCACIÓN FÍSICA,1
26,MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597036-PEDAGOGÍA TERAPÉUTICA,3
27,MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597037-AUDICIÓN Y LENGUAJE,1
28,MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,00597038-EDUCACIÓN PRIMARIA,5
29,MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,11597034-EDUC. FISICA (PRIMARIA)- BILINGÜE INGLÉS,1
30,MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,11597035-MÚSICA (PRIMARIA) - BILINGÜE INGLÉS,1
31,MAESTROS,ALMERÍA,ADRA,04000080-C.E.I.P. SAN FERNANDO,11597038-EDUCACIÓN PRIMARIA - BILINGÜE INGLÉS,4
32,MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597031-EDUCACIÓN INFANTIL,10
33,MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597032-LENGUA EXTRANJERA-INGLÉS,3
34,MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597033-LENGUA EXTRANJERA-FRANCÉS,1
35,MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597034-EDUCACIÓN FÍSICA,1
36,MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597035-MÚSICA,1
37,MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597036-PEDAGOGÍA TERAPÉUTICA,2
38,MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597037-AUDICIÓN Y LENGUAJE,1
39,MAESTROS,ALMERÍA,ADRA,04000092-C.E.I.P. MARE NOSTRUM,00597038-EDUCACIÓN PRIMARIA,10
40,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590001-FILOSOFIA P.E.S.,2
41,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590004-LENGUA CASTELLANA Y LITERATURA P.E.S.,8
42,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590005-GEOGRAFIA E HISTORIA P.E.S.,4
43,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590006-MATEMATICAS P.E.S.,5
44,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590007-FISICA Y QUIMICA P.E.S.,2
45,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590008-BIOLOGIA Y GEOLOGIA P.E.S.,4
46,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590009-DIBUJO P.E.S.,1
47,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590010-FRANCES P.E.S.,2
48,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590011-INGLES P.E.S.,7
49,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590017-EDUCACION FISICA P.E.S.,5
50,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590018-ORIENTACIÓN EDUCATIVA P.E.S.,1
51,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590019-TECNOLOGIA P.E.S.,3
52,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590061-ECONOMIA P.E.S.,2
53,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590101-ADMINISTRACION DE EMPRESAS P.E.S.,4
54,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590103-ASESORIA Y PROC. IMAGEN PERSONAL P.E.S.,2
55,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590105-FORMACION Y ORIENTACION LABORAL P.E.S.,2
56,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590107-INFORMATICA P.E.S.,3
57,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00590803-CULTURA CLASICA P.E.S.,1
58,PROFESORES TEC. DE FORMACION PROFESIONAL,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00591203-ESTETICA P.T.F.P.,2
59,PROFESORES TEC. DE FORMACION PROFESIONAL,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00591218-PELUQUERIA P.T.F.P.,2
60,PROFESORES TEC. DE FORMACION PROFESIONAL,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00591222-PROC. GESTION ADMINISTRATIVA P.T.F.P.,3
61,PROFESORES TEC. DE FORMACION PROFESIONAL,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00591227-SISTEMAS Y APLIC. INFORMATICOS P.T.F.P.,1
62,MAESTROS,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,00597060-PEDAGOGÍA TERAPÉUTICA ESO,1
63,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,11590005-GEOGRAFIA E HISTORIA (INGLES) P.E.S.,3
64,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,11590006-MATEMATICAS (INGLES) P.E.S.,2
65,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,11590007-FISICA Y QUIMICA (INGLES) P.E.S.,1
66,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,11590009-DIBUJO (INGLES) P.E.S.,1
67,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,11590016-MUSICA (INGLES) P.E.S.,1
68,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000110-I.E.S. ABDERA,11590017-EDUCACION FISICA (INGLES) P.E.S.,2
69,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00590001-FILOSOFIA P.E.S.,1
70,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00590003-LATIN P.E.S.,1
71,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00590004-LENGUA CASTELLANA Y LITERATURA P.E.S.,5
72,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00590005-GEOGRAFIA E HISTORIA P.E.S.,2
73,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00590006-MATEMATICAS P.E.S.,5
74,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00590007-FISICA Y QUIMICA P.E.S.,3
75,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00590008-BIOLOGIA Y GEOLOGIA P.E.S.,1
76,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00590009-DIBUJO P.E.S.,2
77,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00590010-FRANCES P.E.S.,2
78,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00590011-INGLES P.E.S.,6
79,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00590016-MUSICA P.E.S.,1
80,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00590017-EDUCACION FISICA P.E.S.,2
81,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00590018-ORIENTACIÓN EDUCATIVA P.E.S.,1
82,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00590019-TECNOLOGIA P.E.S.,2
83,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00590061-ECONOMIA P.E.S.,1
84,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00590105-FORMACION Y ORIENTACION LABORAL P.E.S.,2
85,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00590107-INFORMATICA P.E.S.,3
86,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00590108-INTERVENCION SOCIOCOMUNITARIA P.E.S.,5
87,PROFESORES TEC. DE FORMACION PROFESIONAL,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00591220-PROC.SANITARIOS Y ASISTENCIALES P.T.F.P.,1
88,PROFESORES TEC. DE FORMACION PROFESIONAL,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00591225-SERVICIOS A LA COMUNIDAD P.T.F.P.,5
89,PROFESORES TEC. DE FORMACION PROFESIONAL,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00591227-SISTEMAS Y APLIC. INFORMATICOS P.T.F.P.,1
90,MAESTROS,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00597024-LENGUA CASTELLANA,1
91,MAESTROS,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,00597060-PEDAGOGÍA TERAPÉUTICA ESO,1
92,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,11590005-GEOGRAFIA E HISTORIA (INGLES) P.E.S.,3
93,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,11590008-BIOLOGIA Y GEOLOGIA (INGLES) P.E.S.,2
94,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04000134-I.E.S. GAVIOTA,11590017-EDUCACION FISICA (INGLES) P.E.S.,1
95,MAESTROS,ALMERÍA,ADRA,04005399-C.E.I.P. PEDRO MENA,00597031-EDUCACIÓN INFANTIL,3
96,MAESTROS,ALMERÍA,ADRA,04005399-C.E.I.P. PEDRO MENA,00597032-LENGUA EXTRANJERA-INGLÉS,1
97,MAESTROS,ALMERÍA,ADRA,04005399-C.E.I.P. PEDRO MENA,00597034-EDUCACIÓN FÍSICA,1
98,MAESTROS,ALMERÍA,ADRA,04005399-C.E.I.P. PEDRO MENA,00597035-MÚSICA,1
99,MAESTROS,ALMERÍA,ADRA,04005399-C.E.I.P. PEDRO MENA,00597036-PEDAGOGÍA TERAPÉUTICA,1
100,MAESTROS,ALMERÍA,ADRA,04005399-C.E.I.P. PEDRO MENA,00597037-AUDICIÓN Y LENGUAJE,1
101,MAESTROS,ALMERÍA,ADRA,04005399-C.E.I.P. PEDRO MENA,00597038-EDUCACIÓN PRIMARIA,2
102,MAESTROS,ALMERÍA,ADRA,04005399-C.E.I.P. PEDRO MENA,11597038-EDUCACIÓN PRIMARIA - BILINGÜE INGLÉS,2
103,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04010176-E.O.E. ADRA,00590018-ORIENTACIÓN EDUCATIVA P.E.S.,2
104,MAESTROS,ALMERÍA,ADRA,04500234-C.E.PER. MEDITERRÁNEO,00597032-LENGUA EXTRANJERA-INGLÉS,1
105,MAESTROS,ALMERÍA,ADRA,04500234-C.E.PER. MEDITERRÁNEO,00597038-EDUCACIÓN PRIMARIA,5
106,MAESTROS,ALMERÍA,ADRA,04602079-C.E.I.P. ABDERA,00597031-EDUCACIÓN INFANTIL,3
107,MAESTROS,ALMERÍA,ADRA,04602079-C.E.I.P. ABDERA,00597032-LENGUA EXTRANJERA-INGLÉS,1
108,MAESTROS,ALMERÍA,ADRA,04602079-C.E.I.P. ABDERA,00597034-EDUCACIÓN FÍSICA,1
109,MAESTROS,ALMERÍA,ADRA,04602079-C.E.I.P. ABDERA,00597035-MÚSICA,1
110,MAESTROS,ALMERÍA,ADRA,04602079-C.E.I.P. ABDERA,00597036-PEDAGOGÍA TERAPÉUTICA,1
111,MAESTROS,ALMERÍA,ADRA,04602079-C.E.I.P. ABDERA,00597038-EDUCACIÓN PRIMARIA,2
112,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04700430-I.E.S. VIRGEN DEL MAR,00590004-LENGUA CASTELLANA Y LITERATURA P.E.S.,1
113,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04700430-I.E.S. VIRGEN DEL MAR,00590005-GEOGRAFIA E HISTORIA P.E.S.,2
114,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04700430-I.E.S. VIRGEN DEL MAR,00590006-MATEMATICAS P.E.S.,2
115,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04700430-I.E.S. VIRGEN DEL MAR,00590007-FISICA Y QUIMICA P.E.S.,1
116,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04700430-I.E.S. VIRGEN DEL MAR,00590008-BIOLOGIA Y GEOLOGIA P.E.S.,1
117,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04700430-I.E.S. VIRGEN DEL MAR,00590011-INGLES P.E.S.,2
118,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04700430-I.E.S. VIRGEN DEL MAR,00590017-EDUCACION FISICA P.E.S.,1
119,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04700430-I.E.S. VIRGEN DEL MAR,00590018-ORIENTACIÓN EDUCATIVA P.E.S.,1
120,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,ADRA,04700430-I.E.S. VIRGEN DEL MAR,00590019-TECNOLOGIA P.E.S.,1
121,PROFESORES TEC. DE FORMACION PROFESIONAL,ALMERÍA,ADRA,04700430-I.E.S. VIRGEN DEL MAR,00591203-ESTETICA P.T.F.P.,1
122,PROFESORES TEC. DE FORMACION PROFESIONAL,ALMERÍA,ADRA,04700430-I.E.S. VIRGEN DEL MAR,00591218-PELUQUERIA P.T.F.P.,1
123,MAESTROS,ALMERÍA,ADRA,04700430-I.E.S. VIRGEN DEL MAR,00597041-PROGRAMAS CUALIFICACIÓN PROF. INICIAL,1
124,MAESTROS,ALMERÍA,ADRA,04700430-I.E.S. VIRGEN DEL MAR,00597060-PEDAGOGÍA TERAPÉUTICA ESO,2
125,MAESTROS,ALMERÍA,AGUADULCE,04003706-C.E.I.P. TRINIDAD MARTÍNEZ,00597031-EDUCACIÓN INFANTIL,7
126,MAESTROS,ALMERÍA,AGUADULCE,04003706-C.E.I.P. TRINIDAD MARTÍNEZ,00597032-LENGUA EXTRANJERA-INGLÉS,2
127,MAESTROS,ALMERÍA,AGUADULCE,04003706-C.E.I.P. TRINIDAD MARTÍNEZ,00597033-LENGUA EXTRANJERA-FRANCÉS,1
128,MAESTROS,ALMERÍA,AGUADULCE,04003706-C.E.I.P. TRINIDAD MARTÍNEZ,00597034-EDUCACIÓN FÍSICA,1
129,MAESTROS,ALMERÍA,AGUADULCE,04003706-C.E.I.P. TRINIDAD MARTÍNEZ,00597035-MÚSICA,1
130,MAESTROS,ALMERÍA,AGUADULCE,04003706-C.E.I.P. TRINIDAD MARTÍNEZ,00597036-PEDAGOGÍA TERAPÉUTICA,1
131,MAESTROS,ALMERÍA,AGUADULCE,04003706-C.E.I.P. TRINIDAD MARTÍNEZ,00597037-AUDICIÓN Y LENGUAJE,1
132,MAESTROS,ALMERÍA,AGUADULCE,04003706-C.E.I.P. TRINIDAD MARTÍNEZ,00597038-EDUCACIÓN PRIMARIA,9
133,MAESTROS,ALMERÍA,AGUADULCE,04004383-C.E.I.P. TORREQUEBRADA,00597031-EDUCACIÓN INFANTIL,9
134,MAESTROS,ALMERÍA,AGUADULCE,04004383-C.E.I.P. TORREQUEBRADA,00597032-LENGUA EXTRANJERA-INGLÉS,3
135,MAESTROS,ALMERÍA,AGUADULCE,04004383-C.E.I.P. TORREQUEBRADA,00597033-LENGUA EXTRANJERA-FRANCÉS,1
136,MAESTROS,ALMERÍA,AGUADULCE,04004383-C.E.I.P. TORREQUEBRADA,00597034-EDUCACIÓN FÍSICA,3
137,MAESTROS,ALMERÍA,AGUADULCE,04004383-C.E.I.P. TORREQUEBRADA,00597035-MÚSICA,1
138,MAESTROS,ALMERÍA,AGUADULCE,04004383-C.E.I.P. TORREQUEBRADA,00597036-PEDAGOGÍA TERAPÉUTICA,3
139,MAESTROS,ALMERÍA,AGUADULCE,04004383-C.E.I.P. TORREQUEBRADA,00597037-AUDICIÓN Y LENGUAJE,1
140,MAESTROS,ALMERÍA,AGUADULCE,04004383-C.E.I.P. TORREQUEBRADA,00597038-EDUCACIÓN PRIMARIA,7
141,MAESTROS,ALMERÍA,AGUADULCE,04004383-C.E.I.P. TORREQUEBRADA,11597038-EDUCACIÓN PRIMARIA - BILINGÜE INGLÉS,7
142,MAESTROS,ALMERÍA,AGUADULCE,04005594-C.E.I.P. ARCO IRIS,00597031-EDUCACIÓN INFANTIL,8
143,MAESTROS,ALMERÍA,AGUADULCE,04005594-C.E.I.P. ARCO IRIS,00597032-LENGUA EXTRANJERA-INGLÉS,2
144,MAESTROS,ALMERÍA,AGUADULCE,04005594-C.E.I.P. ARCO IRIS,00597033-LENGUA EXTRANJERA-FRANCÉS,1
145,MAESTROS,ALMERÍA,AGUADULCE,04005594-C.E.I.P. ARCO IRIS,00597034-EDUCACIÓN FÍSICA,2
146,MAESTROS,ALMERÍA,AGUADULCE,04005594-C.E.I.P. ARCO IRIS,00597035-MÚSICA,1
147,MAESTROS,ALMERÍA,AGUADULCE,04005594-C.E.I.P. ARCO IRIS,00597036-PEDAGOGÍA TERAPÉUTICA,2
148,MAESTROS,ALMERÍA,AGUADULCE,04005594-C.E.I.P. ARCO IRIS,00597038-EDUCACIÓN PRIMARIA,6
149,MAESTROS,ALMERÍA,AGUADULCE,04005594-C.E.I.P. ARCO IRIS,11597038-EDUCACIÓN PRIMARIA - BILINGÜE INGLÉS,5
150,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,00590001-FILOSOFIA P.E.S.,1
151,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,00590004-LENGUA CASTELLANA Y LITERATURA P.E.S.,6
152,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,00590005-GEOGRAFIA E HISTORIA P.E.S.,3
153,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,00590006-MATEMATICAS P.E.S.,5
154,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,00590007-FISICA Y QUIMICA P.E.S.,2
155,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,00590008-BIOLOGIA Y GEOLOGIA P.E.S.,2
156,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,00590009-DIBUJO P.E.S.,1
157,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,00590010-FRANCES P.E.S.,2
158,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,00590011-INGLES P.E.S.,5
159,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,00590016-MUSICA P.E.S.,1
160,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,00590017-EDUCACION FISICA P.E.S.,2
161,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,00590018-ORIENTACIÓN EDUCATIVA P.E.S.,1
162,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,00590019-TECNOLOGIA P.E.S.,1
163,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,00590061-ECONOMIA P.E.S.,1
164,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,00590107-INFORMATICA P.E.S.,1
165,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,00590803-CULTURA CLASICA P.E.S.,1
166,MAESTROS,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,00597060-PEDAGOGÍA TERAPÉUTICA ESO,1
167,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,11590005-GEOGRAFIA E HISTORIA (INGLES) P.E.S.,1
168,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,11590006-MATEMATICAS (INGLES) P.E.S.,1
169,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,11590007-FISICA Y QUIMICA (INGLES) P.E.S.,1
170,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,11590008-BIOLOGIA Y GEOLOGIA (INGLES) P.E.S.,1
171,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,11590009-DIBUJO (INGLES) P.E.S.,1
172,PROFESORES DE ENSEÑANZA SECUNDARIA,ALMERÍA,AGUADULCE,04006045-I.E.S. MAR MEDITERRÁNEO,11590019-TECNOLOGIA (INGLES) P.E.S.,1
173,MAESTROS,ALMERÍA,AGUADULCE,04006410-C.E.I.P. VIRGILIO VALDIVIA,00597031-EDUCACIÓN INFANTIL,7
174,MAESTROS,ALMERÍA,AGUADULCE,04006410-C.E.I.P. VIRGILIO VALDIVIA,00597032-LENGUA EXTRANJERA-INGLÉS,2
175,MAESTROS,ALMERÍA,AGUADULCE,04006410-C.E.I.P. VIRGILIO VALDIVIA,00597033-LENGUA EXTRANJERA-FRANCÉS,1
176,MAESTROS,ALMERÍA,AGUADULCE,04006410-C.E.I.P. VIRGILIO VALDIVIA,00597036-PEDAGOGÍA TERAPÉUTICA,1
